seed,arm,lambda_1,cfhm_taus,b3_taus,cfhm_mean_tau,b3_mean_tau,cfhm_gate,b3_gate
1020,A1,0.01,"[0.08402010050251256, -0.03115577889447236, 0.14592964824120602, 0.04251256281407035, 0.056582914572864317, 0.06814070351758794, 0.010552763819095477, 0.0786934673366834, 0.016884422110552764, 0.14532663316582914]","[0.18814070351758794, 0.12341708542713568, 0.13517587939698492, 0.15778894472361807, 0.04301507537688442, 0.2277386934673367, 0.2222110552763819, 0.16582914572864318, 0.08582914572864321, 0.17055276381909548]",0.0617487437185929,0.1519698492462311,False,False
1020,A2,0.01,"[0.0672361809045226, 0.0714572864321608, 0.07065326633165829, 0.05105527638190955, 0.04351758793969849, 0.02201005025125628, 0.04824120603015075, 0.0628140703517588, 0.020804020100502512, 0.024824120603015074]","[0.027236180904522612, 0.10020100502512562, 0.01236180904522613, 0.112964824120603, 0.04040201005025125, 0.08492462311557789, 0.023216080402010047, 0.08381909547738693, 0.04894472361809045, 0.05497487437185929]",0.0482613065326633,0.0589045226130653,False,False
1021,A1,0.01,"[0.06773869346733667, 0.07537688442211055, 0.08884422110552763, -0.008844221105527638, 0.13537688442211054, 0.0571859296482412, 0.061105527638190944, 0.11266331658291456, 0.08663316582914572, 0.13889447236180902]","[0.0750753768844221, 0.1565829145728643, 0.0636180904522613, 0.10884422110552763, 0.15829145728643215, 0.08090452261306533, 0.11658291457286432, 0.07457286432160803, 0.033065326633165824, 0.05909547738693467]",0.0814974874371859,0.0926633165829145,False,False
1021,A2,0.01,"[0.13386934673366832, -0.01135678391959799, 0.034974874371859296, 0.05989949748743719, 0.03919597989949749, 0.018894472361809047, 0.02522613065326633, 0.030351758793969844, 0.13879396984924622, 0.07527638190954773]","[0.07778894472361808, 0.10954773869346733, 0.11718592964824119, 0.13638190954773868, 0.15527638190954773, 0.16100502512562814, 0.20512562814070348, 0.20814070351758793, 0.19999999999999998, 0.14603015075376885]",0.0545125628140703,0.1516482412060301,False,False
1022,A1,0.01,"[0.08713567839195979, 0.05608040201005025, 0.07276381909547738, 0.12040201005025125, 0.0628140703517588, 0.0006030150753768844, 0.3052261306532663, 0.11356783919597989, 0.25547738693467337, 0.2685427135678392]","[0.48502512562814065, 0.4440201005025125, 0.4523618090452261, 0.4407035175879397, 0.44542713567839193, 0.4914572864321608, 0.4014070351758794, 0.42170854271356784, 0.4275376884422111, 0.4073366834170854]",0.1342613065326633,0.4416984924623115,False,False
1022,A2,0.01,"[0.0578894472361809, 0.16542713567839196, 0.15185929648241206, 0.1370854271356784, 0.003919597989949748, -0.011457286432160802, 0.029547738693467336, 0.09668341708542713, 0.030552763819095472, 0.09025125628140702]","[0.22120603015075374, 0.23145728643216082, 0.28412060301507536, 0.34130653266331656, 0.304321608040201, 0.29628140703517586, 0.3042211055276382, 0.28643216080402006, 0.29909547738693465, 0.337286432160804]",0.0751758793969849,0.290572864321608,False,False
1023,A1,0.01,"[0.29758793969849245, 0.16502512562814067, 0.20914572864321607, 0.07407035175879396, 0.18904522613065328, 0.31226130653266326, 0.19477386934673366, 0.2709547738693467, 0.08402010050251256, 0.3073366834170854]","[0.5231155778894472, 0.5042211055276382, 0.5094472361809045, 0.4894472361809045, 0.5319597989949748, 0.4849246231155778, 0.4950753768844221, 0.4914572864321608, 0.5017085427135678, 0.5245226130653265]",0.2104221105527638,0.5055879396984924,False,True
1023,A2,0.01,"[0.11457286432160804, 0.11276381909547738, 0.11728643216080402, 0.2229145728643216, 0.2278391959798995, 0.03276381909547738, 0.25206030150753767, -0.001909547738693467, 0.07758793969849245, 0.08291457286432159]","[0.47738693467336685, 0.4697487437185929, 0.3743718592964824, 0.42763819095477384, 0.43668341708542713, 0.42211055276381904, 0.4954773869346733, 0.41829145728643213, 0.41939698492462313, 0.4531658291457286]",0.1238793969849246,0.439427135678392,False,False
1024,A1,0.01,"[-0.08904522613065327, -0.04693467336683416, 0.12713567839195977, -0.020201005025125625, -0.00040201005025125624, 0.012663316582914572, 0.0743718592964824, 0.054271356783919596, 0.08562814070351758, 0.03889447236180904]","[0.2575879396984925, 0.29266331658291456, 0.17618090452261306, 0.19929648241206027, 0.11336683417085426, 0.2115577889447236, 0.24994974874371859, 0.26281407035175874, 0.1757788944723618, 0.15487437185929645]",0.0236381909547738,0.2094070351758793,False,False
1024,A2,0.01,"[-0.022613065326633167, 0.0971859296482412, 0.06341708542713567, 0.016180904522613063, 0.05296482412060301, 0.022613065326633167, 0.09989949748743718, -0.022512562814070353, -0.050854271356783914, 0.006130653266331658]","[0.1935678391959799, 0.19768844221105528, 0.20623115577889445, 0.2115577889447236, 0.16452261306532662, 0.14371859296482412, 0.19638190954773868, 0.18180904522613062, 0.21889447236180903, 0.2071356783919598]",0.0262412060301507,0.1921507537688442,False,False
